round,date,min_since_start,ss,direction,speed
2,9/17/2015,40,25,270,0
2,9/17/2015,40,30,270,0
2,9/17/2015,40,35,270,0
2,9/17/2015,40,40,270,0
2,9/17/2015,40,45,270,0
2,9/17/2015,40,0,104,0
2,9/17/2015,40,5,104,0
2,9/17/2015,40,10,104,0
2,9/17/2015,45,15,104,0.1
2,9/17/2015,45,20,104,0.8
2,9/17/2015,45,25,104,0.3
2,9/17/2015,45,30,104,0
2,9/17/2015,45,35,104,0
2,9/17/2015,45,40,104,0
2,9/17/2015,45,45,104,0
2,9/17/2015,45,0,228,0
2,9/17/2015,45,5,228,0
2,9/17/2015,50,10,228,0
2,9/17/2015,50,15,228,0
2,9/17/2015,50,20,228,0
2,9/17/2015,50,25,228,0.3
2,9/17/2015,50,30,228,0.2
2,9/17/2015,50,35,228,1.1
2,9/17/2015,50,40,228,0.4
2,9/17/2015,50,45,228,0.9
2,9/17/2015,50,0,278,0
2,9/17/2015,55,5,278,0
2,9/17/2015,55,10,278,0.7
2,9/17/2015,55,15,278,0
2,9/17/2015,55,20,278,0
2,9/17/2015,55,25,278,0.2
2,9/17/2015,55,30,278,0
2,9/17/2015,55,35,278,0
2,9/17/2015,55,40,278,0
2,9/17/2015,55,45,278,0
2,9/17/2015,60,0,284,0.2
2,9/17/2015,60,5,284,0
2,9/17/2015,60,10,284,0
2,9/17/2015,60,15,284,0.1
2,9/17/2015,60,20,284,1.6
2,9/17/2015,60,25,284,2.6
2,9/17/2015,60,30,284,1.3
2,9/17/2015,60,35,284,0.3
2,9/17/2015,60,40,284,0.1
2,9/17/2015,65,45,284,1
2,9/17/2015,65,0,289,0.3
2,9/17/2015,65,5,289,1.3
2,9/17/2015,65,10,289,1.3
2,9/17/2015,65,15,289,1.1
2,9/17/2015,65,20,289,0
2,9/17/2015,65,25,289,0
2,9/17/2015,65,30,289,0.7
2,9/17/2015,65,35,289,0
2,9/17/2015,70,40,289,0.8
2,9/17/2015,70,45,289,2.2
2,9/17/2015,70,0,273,1.5
2,9/17/2015,70,5,273,1.8
2,9/17/2015,70,10,273,0.3
2,9/17/2015,70,15,273,0.9
2,9/17/2015,70,20,273,1.6
2,9/17/2015,70,25,273,1.1
2,9/17/2015,70,30,273,0.3
2,9/17/2015,75,35,273,0
2,9/17/2015,75,40,273,0
2,9/17/2015,75,45,273,0
2,9/17/2015,75,0,270,0
2,9/17/2015,75,5,270,0
2,9/17/2015,75,10,270,1
2,9/17/2015,75,15,270,1.1
2,9/17/2015,75,20,270,1.4
2,9/17/2015,75,25,270,1.3
2,9/17/2015,80,30,270,1.3
2,9/17/2015,80,35,270,1.2
2,9/17/2015,80,40,270,0.8
2,9/17/2015,80,45,270,2.1
2,9/17/2015,80,0,284,0
2,9/17/2015,80,5,284,0.2
2,9/17/2015,80,10,284,0
2,9/17/2015,80,15,284,0.2
2,9/17/2015,80,20,284,0.4
2,9/17/2015,85,25,284,0
2,9/17/2015,85,30,284,0
2,9/17/2015,85,35,284,0
2,9/17/2015,85,40,284,0
2,9/17/2015,85,45,284,0.9
2,9/17/2015,85,0,270,0
2,9/17/2015,85,5,270,0
2,9/17/2015,85,10,270,0
2,9/17/2015,85,15,270,0.4
2,9/17/2015,90,20,270,0.3
2,9/17/2015,90,25,270,1.2
2,9/17/2015,90,30,270,1.2
2,9/17/2015,90,35,270,1
2,9/17/2015,90,40,270,1.3
2,9/17/2015,90,45,270,0.8
2,9/17/2015,90,0,285,0
2,9/17/2015,90,5,285,0
2,9/17/2015,90,10,285,0
2,9/17/2015,95,15,285,0
2,9/17/2015,95,20,285,0
2,9/17/2015,95,25,285,0
2,9/17/2015,95,30,285,0
2,9/17/2015,95,35,285,0
2,9/17/2015,95,40,285,0
2,9/17/2015,95,45,285,0
2,9/17/2015,95,0,294,0
2,9/17/2015,95,5,294,1.4
2,9/17/2015,100,10,294,0.5
2,9/17/2015,100,15,294,0.5
2,9/17/2015,100,20,294,2
2,9/17/2015,100,25,294,1.4
2,9/17/2015,100,30,294,0.7
2,9/17/2015,100,35,294,0
2,9/17/2015,100,40,294,0
2,9/17/2015,100,45,294,0
2,9/17/2015,100,0,283,0
2,9/17/2015,105,5,283,0.4
2,9/17/2015,105,10,283,0.1
2,9/17/2015,105,15,283,0.3
2,9/17/2015,105,20,283,1
2,9/17/2015,105,25,283,0.5
2,9/17/2015,105,30,283,0
2,9/17/2015,105,35,283,0
2,9/17/2015,105,40,283,0
2,9/17/2015,105,45,283,0
2,9/17/2015,110,0,284,0.2
2,9/17/2015,110,5,284,0.2
2,9/17/2015,110,10,284,1
2,9/17/2015,110,15,284,1.5
2,9/17/2015,110,20,284,1.3
2,9/17/2015,110,25,284,1
2,9/17/2015,110,30,284,0
2,9/17/2015,110,35,284,0
2,9/17/2015,110,40,284,0
2,9/17/2015,115,45,284,0.2
2,9/17/2015,115,0,296,1.7
2,9/17/2015,115,5,296,1.6
